No,이름,종류,원재료,알콜도수,용량,수상내역,맛,향,당도,산도,목넘김,기타,어울리는 음식,키워드,주소
1,1000억 유산균 막걸리,탁주,국내산쌀,5%,750ml,없음,감칠맛,복숭아향,높은당도,높은산도,청량감,,"전, 회무침과 잘 어울린다.",,강원도 횡성군 둔내면 현천리 120
2,11.5도 나루 생 막걸리,탁주,쌀/ 국/ 효모,12%,500ml,없음,감칠맛,바닐라향,높은당도,적당한산도,묵직함/부드러움,,아직 짝이 없어요!,,"서울특별시 성동구 둘레15길 12, 2층 한강주조"
3,1932 새싹땅콩+햅쌀/흑미,탁주,새싹땅콩+고시히카리쌀/새싹땅콩+진도산 흑미,6%,500ml/900ml,없음,신선한맛/고소한맛,,낮은당도,낮은산도,묵직함,흰색,마늘새우와 잘 어울린다.,,경기도 포천시 일동면 운악청계로 1597
4,2017년 햅쌀로 빚은 첫술,탁주, 햅쌀,7%,750ml,없음,쌀맛,쌀향,적당한당도,적당한산도,청량감/부드러움,,아직 짝이 없어요!,,강원도 횡성군 둔내면 강변로 975
5,6도 나루 생 막걸리,탁주,쌀/ 국/ 효모,6%,935ml,없음,,바닐라향/바나나향,적당한당도,적당한산도,묵직함/부드러움,,아직 짝이 없어요!,,"서울특별시 성동구 둘레15길 12, 2층 한강주조"
6,SSOA-포도,리큐르 및 기타주류,국내산 포도,5%,355ml,2014 대한민국우리술품평회 대상 (기타주류 부문),상큼한맛/ 포도맛,,,,청량감,,"피자, 치킨의 기름진 맛을 포도의 상큼함이 깔끔하게 만들어 준다.",,
7,The 찾을수록(복숭아맛),증류주,"사과와인, 정제수, 정제주정 외 제품별 농축액 (복숭아,청포도, 아메리카향)",14%,360ml,없음,,부드러운향,,,부드러움,,식중주보다는 가벼운 식후주로 스낵 등과 즐기기 좋다.,,
8,The 찾을수록(사과맛),증류주,"사과와인, 정제수, 정제주정 외 제품별 농축액 (사과, 생강, 감귤)",16%,360ml,없음,쓴맛,,,,묵직함,,아직 짝이 없어요!,,제주 제주시 애월읍 애언로 283
9,가야곡왕주,"약주,청주",쌀/ 야생 국화/ 구기자/ 오미자/ 솔잎/ 매실,13%,750ml,전통식품명인 제13호 남상란,쓴맛,약초향/ 조청향,낮은당도,낮은산도,깔끔함,담황색,갈비와 함께 먹으면 술의 다양한 맛과 향이 갈비의 이취도 없애주어 좋다.,,
10,가평 잣 생 막걸리,탁주,쌀/ 정제수/쌀입국/ 잣/ 효모/ 정제효소 등,6%,750ml,없음,고소한맛,쌀향,낮은당도,낮은산도,부드러움/가벼움,,반찬으로 나오는 우리음식과 모두 잘 어울린다.,,"경기 가평군 하면 대보간선로 26, 29"
11,감그린 레귤러,과실주, 감,12%, 750ml,"2005년 부산APEC정상회의 만찬주

제17~18대 대통령 취임 건배주",떫은맛,감향,적당한당도,적당한산도,,,기름진 음식/소고기류,,경북 청도군 풍각면 봉길1길27
12,감그린 스페셜,과실주, 감,12%, 750ml,"2005년 부산APEC정상회의 만찬주

제17~18대 대통령 취임 건배주",떫은맛,감향,적당한당도,적당한산도,,,아직 짝이 없어요!,,경북 청도군 풍각면 봉길1길27
13,감그린 아이스와인,과실주, 감,10%, 375ml,"2005년 부산APEC정상회의 만찬주

제17~18대 대통령 취임 건배주",떫은맛,아로마향,높은당도,적당한산도,,,치즈류,,경북 청도군 풍각면 봉길1길27
14,감사,"약주,청주",쌀(국내산 경기미 100%)/ 누룩/ 정제수,14%,375ml,없음,드라이한맛,과일향,적당한당도,적당한산도,,,"불고기,잡채",,경기도 용인시 처인구 양지면 죽양대로 2298-1
15,감사블루,"약주,청주",쌀(국내산 경기미 100%)/ 누룩/ 효모/ 정제수,14%,375ml,없음,곡물맛,과일향,적당한당도,적당한산도,부드러움,,아직 짝이 없어요!,,경기도 용인시 처인구 양지면 죽양대로 2298-1
16,감악산 산머루주,과실주, 머루원액 78.5%(경기 파주)/ 주정(국내산/ 수입산),12%, 360ml,없음,,과일향,낮은당도,적당한산도,,,양념된 고기류,,경기 파주시 적성면 객현리 67-1
17,감홍로,증류주,국내산 쌀,40%,400ml,전통식품명인 제43호 이기숙,,약재향,적당한당도,,부드러움,붉은색,"소고기육포, 대구포무침과 잘 어울린다.",,경기도 파주시 파주읍 부곡리 34 ? 7
18,감홍로 백자,증류주,"쌀(70%), 메조(30%), 용안육, 진피, 생강, 정향, 감초, 지초",40%,"400ml, 700ml",없음,,한약재향/은은한향/계피향,낮은당도,,부드러움,,"내포중탕, 녹두전과 같이 기름진 안주와도 잘 어울리며, 바닐라 아이스크림, 초코 케익과도 잘 어울린다.",,경기도 파주시 파주읍 부곡리 34-7
19,강소주,증류주,"국내산 쌀, 정제수",50%,"200ml / 1,800ml",없음,보리특유의크림같은맛,알코올향/ 달콤한향,높은당도,,깔끔함,,아직 짝이 없어요!,,충남 공주시 사곡면 마곡사로 49
20,걍즐겨,탁주,멥쌀/찹쌀/누룩/프렌치세종/석류/히비스커스,8%,600ml,없음,,과일향/베리향,,적당한산도,,,"피자,햄버거,후라이드치킨와 같은 캐주얼한 음식과 잘 어울린다.",,서울 강북구 삼양로 455
21,경성과하주,"약주,청주",국내산 찹쌀/ 국내산 누룩/ 증류원액,20%,375ml,없음,찹쌀맛,과일향,높은당도,적당한산도,부드러움/묵직함,,"맑은 장국 등 하고도 잘 어울린다. 맑은 소고기국, 미역국, 계란국 등도 좋은 매칭이다.",,"경기도 여주시 대신면 대신1로 120, 나호"
22,경주교동법주,"약주,청주",찹쌀,16%,900 ml,중요무형문화재 제86-3호,쓴맛,누룩향,적당한당도,적당한산도,,,"쇠고기육포, 북어포푸리, 사연지 등 우리전통안주와 함께 마시면 한결 운치가 있다.",,
23,계룡백일주,리큐르 및 기타주류,찹쌀/ 멥쌀/ 솔,40%,400ml,"전통식품명인 제4-가호 이성우

 시도무형문화재 충청남도 제7호",담백한맛/깔끔한맛,꽃향기/은은한향,,,부드러움,맑은색,불고기와 잘 어울린다.,,
24,계룡백일주 40%,증류주,"찹쌀,백미,누룩, 재래종국화꽃,오미자,진달래,재래종 솔잎",40%,600ml,없음,칼칼한맛/감칠맛,은은한향,,,부드러움,,"갈비구이, 생선회",,충청남도 공주시 봉정동 390
25,계룡산 산삼주 금수강산(21%),증류주,"산양산삼, 정제주, 주정",21%,740ml,없음,삼의쓴맛,산양삼향,,,,,삼계탕과 잘 어울린다.,,충남 논산시 연무읍 마종로 361
26,계룡산 산삼주 금수강산(40%),증류주,"산양산삼, 정제주, 주정",40%,740ml,없음,삼의쓴맛,산양삼향,,,,,삼계탕과 잘 어울린다.,,충남 논산시 연무읍 마종로 361
27,고도리 레드와인 스위트,과실주, MBA 머루포도(경북 영천),12%, 750ml,"2011년 대한민국 우리술품평회 과실주 부문 우수상

2015년 한국와인 베스트컬렉션 골드 수상

2016년 대한민국 주류대상 BEST OF BEST 수상

2017년 아시아와인트로피 실버상

2018년 대한민국주류대상 한국와인부문 대상",,과일향,,,,,"육회, 수육, 불고기",,
28,고도리 복숭아와인,과실주, 복숭아(경북 영천),6.50%, 750ml,"2011년 대한민국 우리술품평회 과실주 부문 우수상

2015년 한국와인 베스트컬렉션 골드 수상

2016년 대한민국 주류대상 BEST OF BEST 수상

2017년 아시아와인트로피 실버상

2018년 대한민국주류대상 한국와인부문 대상",,복숭아향,높은당도,,,,아직 짝이 없어요!,,경북 영천시 고경면 고도리 494-3
29,고도리 청수 와인,과실주, 포도(청수),10.50%, 750ml,"2011년 대한민국 우리술품평회 과실주 부문 우수상

2015년 한국와인 베스트컬렉션 골드 수상

2016년 대한민국 주류대상 BEST OF BEST 수상

2017년 아시아와인트로피 실버상

2018년 대한민국주류대상 한국와인부문 대상",포도맛,과일향,,높은산도,부드러움,,"닭고기, 오리고기, 생선회, 해물탕, 튀김류",,경북 영천시 고경면 고도리 494-3
30,고도리 화이트와인 드라이,과실주, 거봉포도(경북 영천),10.50%, 750ml,"2018년 대한민국주류대상 한국와인부문 대상

2017년 아시아와인트로피 실버상

2016년 대한민국 주류대상 BEST OF BEST

2015년 한국와인 베스트컬렉션 골드

2011년 대한민국 우리술품평회 과실주 부문 우수상",,과일향,,높은산도,깔끔함,,"광어, 우럭, 기름기가 적은 생선회",,경북 영천시 고경면 고도리 494-3
31,고도리 화이트와인 스위트,과실주, 거봉포도(경북 영천),10.50%, 750ml,"2011년 대한민국 우리술품평회 과실주 부문 우수상

2015년 한국와인 베스트컬렉션 골드 수상

2016년 대한민국 주류대상 BEST OF BEST 수상

2017년 아시아와인트로피 실버상

2018년 대한민국주류대상 한국와인부문 대상",,과일향,낮은당도,높은산도,,,아직 짝이 없어요!,,경북 영천시 고경면 고도리 494-3
32,고소리술,증류주,"제주산 좁쌀53%, 국내산 쌀 47%","29%, 40%","29% ? 750ml , 40% ? 375ml / 400ml","2011 대한민국우리술품평회 대상 (증류식소주 부문)

 2012 대한민국우리술품평회 최우수상 (증류식소주 부문)

 2013 대한민국우리술품평회 대상 (증류식소주 부문)

 2014 IWSC 동상

 2014 Monde-selection 금상

 2014 대한민국우리술품평회 대상 (증류식소주 부문)",깔끔한맛/감칠맛/구수한맛/거친맛/매운맛,배꽃향/달콤한향,적당한당도,,부드러움,,육류구이와 잘 어울린다.,,제주 제주시 애월읍 애언로 283
33,고운달 백자,증류주,오미자(문경산),52%,500ml,없음,오미자맛,오미자향/ 허브향,적당한당도,,부드러움,,"가벼운 샐러드나 견과류, 육포 등이 좋다.",,경북 문경시 문경읍 새재로 609
34,고운달 오크,증류주,오미자(문경산),52%,500ml,없음,,초콜릿향/ 커피향/ 오미자향,,,부드러움,,"아몬드. 초콜릿, 올리브, 견과류, 육포 등을 추천한다. ",,경북 문경시 문경읍 새재로 609
35,고창선운산 땡큐복분자주,과실주, 복분자과실/ 주정/ 효모/ 구연산/ 정제수,13%, 300ml,없음,쓴맛,복분자향,높은당도,,깔끔함,,장어 구이,,전북 고창군 심원면 심원로 270-73
36,고창선운산 땡큐블루베리주,과실주,블루베리과실/ 주정/ 효모/ 구연산/ 정제수,13%, 300ml,없음,쓴맛,블루베리향,적당한당도,적당한산도,가벼움,,고기류/치즈류,,전북 고창군 심원면 심원로 270-73
37,고창선운산 복분자주 특1호,과실주, 복분자과실/ 주정/ 효모/ 구연산/ 정제수,15%, 1800ml,없음,쓴맛,복분자향,높은당도,,깔끔함,,장어 구이,,전북 고창군 심원면 심원로 270-73
38,고향생막걸리,탁주,쌀,6%,750ml,2010 대한민국우리술품평회 장려상 (생막걸리 부문),,,적당한당도,,부드러움,적은숙취,"김치와 돼지고기, 각종야채가 들어간 김치잡채가 잘 어울린다.",,
39,고향인삼막걸리,탁주,쌀90%/ 인삼10%,6%,750ml,2010 대한민국우리술품평회 우수상 (살균막걸리부문),인삼맛,인삼향,,,부드러움,적은숙취,고등어조림. 인삼 특유의 맛과 향이 고등어의 비린 맛을 없애주어 더욱 어울린다.,,
40,공주알밤 왕밤주,리큐르 및 기타주류,공주밤/ 백미/ 아스파탐,6%,750ml,없음,순한맛,밤향,적당한당도,,부드러움,,공주국밥하고 좋은 매칭이다.,,충남 공주시 사곡면 마곡사로 49
41,공주애 오디와인,과실주, 국내산 오디/ 정제수/ 주정/ 과당/ 효모,15%, 375ml,없음,쓴맛,,높은당도,,부드러움,붉은 빛,장어구이,,충남 공주시 사곡면 마곡사로 49
42,광양 생 막걸리,탁주,정제수/ 밀가루/ 물엿(외국산)/ 햅쌀/ 입국/ 설탕/ 곡자(누룩)/ 아스파탐/ 정제효소/ 효모/ 젖산/ 액화효소,5%,750ml,없음,깔끔한맛/깊은맛,,,,부드러움,,"전, 두부김치, 골뱅이 소면무침 등과 잘 어울린다.",,전남 광양시 광양읍 예구8길 13-4
43,광양 생 막걸리 골드,탁주,정제수/쌀/ 입국/ 곡자/ 아스파탐/ 정제효소/ 효모/ 젖산/ 액화효소,5%,750ml,없음,깔끔한맛,,,,부드러움/청량감,,"치킨, 피자, 치즈 등과 어울린다.",,전남 광양시 광양읍 예구8길 13-4
44,구암대추막걸리,탁주,쌀/ 대추,6%,1000ml,2010 대한민국우리술품평회 대상 (살균막걸리 부문),고소한맛,대추향,적당한당도,적당한산도,부드러움,,매콤한 오징어 양념구이와 잘 어울린다.,,
45,국순당 생막걸리 대박,탁주,쌀,6%,700ml,없음,,과일향,적당한당도,적당한산도,부드러움/청량감,유백색,돼지고기 등의 수육과 잘 어울린다.,,강원도 횡성군 둔내면 현천리 120
46,국순당 이화주,탁주,이화누룩/쌀,13%,400ml,없음,깊은맛/곡물맛,,높은당도,높은산도,걸쭉함/부드러움,떠먹는술/흰색,특별한 안주가 필요 없이 먹을 수 있지만 디저트 술로 적당하다.,,강원도 횡성군 둔내면 현천리 120
47,그랑꼬또 M56,과실주, 포도,12%, 750ml,없음,상큼한맛/떫은맛,과일향/장미향,낮은당도,높은산도,부드러움,,양념된 고기류,,경기도 안산시 단원구 뻐꾹산길 107(대부북동)
48,그랑꼬또 레드와인,과실주, 국내산 포도 (캠벨얼리),12%, 750ml/375ml,없음,상큼한맛,과일향,높은당도,높은산도,,,삼겹살/보쌈/김치전/아구찜/매콤한 볶음요리,,경기도 안산시 단원구 뻐꾹산길 107(대부북동)
49,그랑꼬또 로제와인,과실주, 포도,12%, 750ml,없음,떫은맛,,높은당도,,청량감/깔끔함,,해산물류,,경기도 안산시 단원구 뻐꾹산길 107(대부북동)
50,그랑꼬또 청수,과실주, 포도,12%, 750ml,"2014 아시아 와인 트로피' 실버 메달

2016년 대한민국 우리술품평회 과실주부문 최우수상",,과일향,,,청량감,,해산물류,,경기도 안산시 단원구 뻐꾹산길 107(대부북동)
51,금산인삼주,"약주,청주",국내산쌀 93.5%/ 국내산인삼 6.5%,13%,360ml,"전통식품명인 제2호 김창수

 2010 대한민국우리술품평회 대상 (약주/청주 부문)",쓴맛,인삼향,낮은당도,적당한산도,가벼움,,고사리나물의 부드러운 식감과 구수함은 금산인삼주의 은은한 향과 풍미를 살려준다.,,
52,금산인삼주 수삼 500,증류주,"국내산 쌀, 국내산 인삼",43%,500ml,"전통식품명인 제2호 김창수

 2011 대한민국우리술품평회 장려상 (일반증류주 부문)",,인삼향,,,,,생선회와 잘 어울린다.,,충남 금산군 금성면 파초길 23
53,금삼인삼백주,증류주,"국내산쌀 95.8%, 국내산 인삼 4.2%",43%,500ml,"전통식품명인 제2호 김창수

 시도무형문화재 충청남도 제19호",,인삼향,,,부드러움,,문어회와 잘 어울린다.,,충남 금산군 금성면 파초길 23
54,금정산성막걸리,탁주,쌀,8%,750ml,없음,구수한맛,,낮은당도,높은산도,가벼움,,"파전, 두부김치",,부산 금정구 산성로 453
55,금휘,증류주,"국내산 쌀, 황기, 금나노화된 황금물",35%,500ml,2013 대한민국우리술품평회 우수상 (일반증류주 부문),깔끔한맛,주향,,,부드러움,,류산슬과 잘 어울린다.,,충청북도 제천시 송학면 송한리 477-3번지
56,김천과하주(16%),"약주,청주",국내산 찹쌀,16%,700ml,"전통식품명인 제17호 송강호

 시도무형문화재 경상북도 제11호",찹쌀맛,,낮은당도,낮은산도,,황갈색,삼겹살 또는 목살요리가 안주로 어울린다.,,
57,김천과하주(23%),리큐르 및 기타주류,국내산 토종멥쌀,23%,700ml,"전통식품명인 제17호 송강호

 시도무형문화재 경상북도 제11호",곡주맛,곡주향,적은당도,적당한산도,부드러움,황갈색,"고추장양념불고기, 삼겹살구이와 잘 어울린다.",,경상북도 김천시 대항면 괘방령로 1178-4
58,김포 막걸리,탁주,쌀/ 누룩/ 정제수,6%,750ml,없음,감칠맛/쓴맛,,적당한당도,높은산도,청량감/부드러움/가벼움,,파전과 잘 어울린다.,,경기도 김포시 월곶면 김포대로 2763
59,김포별주,"약주,청주",쌀/ 옥수수 전분/ 국/ 효모/ 젖산/ 효소제/ 정제수,13%,500ml,없음,감칠맛,과일향,적당한당도,적당한산도,부드러움/깔끔함,황금빛,주꾸미 볶음과 잘 어울린다.,,경기도 김포시 월곶면 김포대로 2763
60,김포약주,"약주,청주",소맥분/ 옥전분,11%,750ml,2011 대한민국우리술품평회 장려상 (약주/청주 부문),감칠맛,과일향,적당한당도,적당한산도,부드러움,,특유의 곡주발효향이 풍미를 더하고 빈대떡의 약간 느끼한 맛도 감해주어 술맛이 더욱 살아난다.,,
61,김포약주(김포양조),"약주,청주",옥수수 전분/ 밀/ 국/ 효모/ 젖산/ 효소제/ 정제수,11%,750ml,없음,가벼운맛,달콤한향,적당한당도,적당한산도,가벼움,황금빛,닭백숙 등 양념되지 않은 고기류와 잘 어울린다.,,경기도 김포시 월곶면 김포대로 2763
62,김포예주,"약주,청주",국내산 쌀/ 옥전분,13%,750ml,"2013 대한민국우리술품평회 최우수상 (약주/청주 부문)

 2014 SIWC 동상

 2014 Monde-selection 은상",고소한맛/ 쓴맛,곡물향/ 과일향,낮은당도,낮은산도,부드러움/ 묵직함,황금빛,"숭어회, 회무침, 매운탕이 잘 어울린다.",,
63,김포예주 프리미엄,"약주,청주",국내산 쌀/ 국/ 효모/ 젖산/ 정제수,13%,750ml,없음,고소한맛/ 쓴맛,,적당한당도,,,호박색,불고기와 잘 어울린다.,,경기도 김포시 월곶면 김포대로 2763
64,김포특주,"약주,청주",국내산 쌀/ 효모/ 정제효소/정제수/ 프락토올리고당,15%,375ml,없음,발효맛/가벼운맛,발효향,높은당도,높은산도,부드러움,,"감자탕, 김치찌개, 청국장, 매운 제육볶음 등과 잘 어울린다.",,경기도 김포시 하성면 하성로 622
65,꿀막걸리,탁주,쌀/ 벌꿀/ 사과농축액/ 효모/ 정제효소,8%,750ml,없음,고소한맛/쓴맛,유자향,,적당한산도,부드러움/묵직함,,양념 갈비와 잘 어울린다.,,전라남도 장성군 장섭읍 남양촌길 19
66,나 와인,리큐르 및 기타주류,국내산 찹쌀 100%,10%,500ml,2010 대한민국우리술품평회 우수상 (기타주류 부문),상쾌한맛,,,,부드러움/ 청량감,,주꾸미 참나물무침과 잘 어울린다.,,
67,남한산성소주,증류주,"쌀, 엿, 누룩",40%,400ml,시도무형문화재 경기도 제13호,고린맛,구수한향/달콤한향/불향,높은당도,,부드러움,,송이한우구이와 잘 어울린다.,,경기도 광주시 곤지암읍 연곡리 51
68,너와머루와인,과실주, 머루100%,12%, 500ml/750ml,2013 박근혜대통령 취임식 만찬주,떫은맛,,적당한당도,적당한산도,,,너비아니/치즈떡갈비,,
69,노미,"약주,청주",국내산 찹쌀/ 국내산 쌀,18%,700ml,2010 대한민국우리술품평회 최우수상 (약주/청주 부문),,,높은당도,,부드러움,,부드럽고 감칠맛 나는 노미의 뒷맛이 육회의 맛을 한층더 살려준다.,,
70,녹파주,"약주,청주",국내산 찹쌀/ 멥쌀/ 누룩/ 정제수,15%,375ml,없음,은은한맛,은은한향,적당한당도,낮은산도,부드러움,,"녹파주가 나오는 경남 함양에서는 드넓은 연꽃 밭에서 나오는 연잎밥이 유명한데, 같이 즐기기에 충분히 매력적인 궁합이다.",,경상남도 함양군 지곡면 지곡창촌길 3
71,느린마을 증류주,증류주,쌀(국내산),17%,360ml,없음,깨끗한맛,은은한향,,,부드러움,,수육 그리고 회나 해산물과 곁들이면 부드러운 향을 함께 느낄 수 있다.,,경기도 포천시 화현면 화현리 512
72,느린마을막걸리-가을,탁주,쌀,6%,750ml,2014 대한민국우리술품평회 우수상 (생막걸리 부문),깊은맛,,적당한당도,,,흰색,"전류, 두부김치와 잘 어울린다.",,
73,느린마을막걸리-겨울,탁주,쌀,6%,750ml,2014 대한민국우리술품평회 우수상 (생막걸리 부문),담백한맛,,적당한당도,적당한산도,,흰색,"전류, 두부김치와 잘 어울린다.",,
74,느린마을막걸리-봄,탁주,쌀,6%,750ml,2014 대한민국우리술품평회 우수상 (생막걸리 부문),,,높은당도,,,흰색,"전류, 두부김치와 잘 어울린다.",,
75,느린마을막걸리-여름,탁주,쌀,6%,750ml,2014 대한민국우리술품평회 우수상 (생막걸리 부문),,,높은당도,적당한산도,,흰색,"전류, 두부김치와 잘 어울린다.",,
76,능이주,"약주,청주",국내산 쌀/ 능이농충액/ 누룩/ 정제수,13%,375ml,없음,버섯맛,버섯향/ 무화과향,,적당한산도,부드러움/가벼움/깔끔함,호박색,버섯을 살짝 구워 함께 마시는 것이 좋다.,,충남 논산시 연무읍 마종로 361
77,니모메,"약주,청주",쌀/ 감귤 진피/ 정제수,11%,375ml,없음,상큼한맛/은은한맛,고구마향/귤향,낮은당도,낮은산도,부드러움/가벼움,황금빛,흰 살 생산 회와 잘 어울린다.,,제주 제주시 애월읍 애언로 283
78,담솔,리큐르 및 기타주류,백미(함양산) 90%/ 솔잎·송순(함양산) 10%,40%,500ml / 750ml,"전통식품명인 제27호 박흥선

 2010 대한민국우리술품평회 최우수상 (리큐르 부문)

 2011 대한민국우리술품평회 최우수상 (리큐르 부문)

 2012 대한민국우리술품평회 최우수상 (리큐르 부문)

2013 대한민국우리술품평회 우수상 (리큐르 부문)",감칠맛,송순향/ 솔잎향,적당한당도,,부드러움,,"삼겹살 구이, 돼지양념 단호박찜과 잘 어울린다.",,경상남도 함양군 지곡면 지곡창촌길 3
79,담은,탁주,포천시 최고급쌀,6%,750ml,없음,,발효향,적당한당도,낮은산도,부드러움,흰색,매콤한 해물찜,,경기도 포천시 일동면 운악청계로 1597
80,대대포 막걸리,탁주, 쌀,6%,750 ml,2019 우리술,쓴맛/깔끔한맛/감칠맛,쌀향,적당한당도,낮은산도,텁텁함/청량감,적은숙취,"시원하고 아삭한 오이소박이, 오이 달걀 볶음, 소고기 오이 볶음",,
81,대잎술,증류주,"쌀, 누룩, 댓잎, 솔잎, 진피, 갈근, 오미자, 구기자, 죽력 등",12%,300ml,없음,,꽃향,적당한당도,적당한산도,가벼움,,스테이크와 잘 어울린다.,,전남 담양군 용면 추령로 29
82,대통주,"약주,청주",국내산 쌀/ 국내산 매실농축액/ 국내산 대나무잎,11%,360ml,"2012 대한민국우리술품평회 대상 (약주/청주 부문)

 2013 SIWC 동상

 2013 IWSC 동상

 2013 NYWSC 동상",새콤한맛,매실향,적당한당도,적당한산도,,,닭갈비구이와 잘 어울린다.,,전남 담양군 용면 추령로 29
83,대포막걸리,탁주,쌀,7%,425ml,2010 대한민국우리술품평회 장려상 (살균막걸리 부문),,,높은당도,낮은산도,깔끔함/부드러움,적은숙취,북어포무침은 담백한 대포막걸리에 북어의 구수한맛과 양념이 잘 어울린다.,,경기도 포천시 화현면 화현리 512
84,도문대작 생막걸리,탁주,강릉쌀/ 누룩/ 갯방풍나물/ 정제수,10%,750ml,없음,쓴맛,발효향,낮은당도,적당한산도,묵직함,두유색,갈비찜과 잘 어울린다.,,강원도 강릉시 미노길 103
85,동강 더덕술,리큐르 및 기타주류,국내산 더덕,20%,360ml,2012 대한민국우리술품평회 우수상 (리큐르 부문),깔끔한맛/ 더덕맛,더덕향,,,,,매콤 달콤한 양념을 발라 팬에 구운 더덕구이와 잘 어울린다.,,
86,동몽,"약주,청주",홍천 쌀/ 정제수/ 단호박/ 국(밀 누룩),17%,500ml,없음,감칠맛,,,,묵직함,,두부전골과 잘 어울린다.,,강원도 홍천군 내촌면 물걸리 508-2
87,동정춘,탁주,쌀/ 누룩/ 정제수,8%,500ml,없음,고소한맛,바닐라향,높은당도,낮은산도,부드러움,아이보리색,갈비찜 등 단맛이 약간 있는 음식들과 잘 어울린다.,,강원도 홍천군 화촌면 야시대로 211-57
88,두레앙,증류주,국내산 포도,35%,750ml,"2011 대한민국우리술품평회 대상 (일반증류주 부문)

 2014 대한민국우리술품평회 최우수상 (일반증류주 부문)",깔끔한맛/신선한맛,포도향,,,부드러움,화려한색,버섯 월남쌈과 잘 어울린다.,,충청남도 천안시 서북구 입장면 신두리 42-14
89,두레앙브랜디,증류주,거봉포도,35%,750ml,"2015대한민국 우리술 품평회(기타주류부문)두레앙브랜디 최우수상수상

2016년 몽드셀렉션(브랜디)브론즈상수상",깔끔한맛,오크향/포도껍질향,,,묵직함,미색,"과일, 육류",,충남 천안시 서북구 입장면 율목길17-6
